clean_index,trial_id,filename,metadata_label,y_clean_label,accepted_status,alignment_status
0,1,cellula_MI_data_1.csv,0,0,True,VERIFIED_MATCH
1,2,cellula_MI_data_2.csv,1,1,True,VERIFIED_MATCH
2,3,cellula_MI_data_3.csv,0,0,True,VERIFIED_MATCH
3,4,cellula_MI_data_4.csv,0,0,True,VERIFIED_MATCH
4,5,cellula_MI_data_5.csv,0,0,True,VERIFIED_MATCH
5,6,cellula_MI_data_6.csv,1,1,True,VERIFIED_MATCH
6,8,cellula_MI_data_8.csv,0,0,True,VERIFIED_MATCH
7,11,cellula_MI_data_11.csv,0,0,True,VERIFIED_MATCH
8,12,cellula_MI_data_12.csv,1,1,True,VERIFIED_MATCH
9,13,cellula_MI_data_13.csv,0,0,True,VERIFIED_MATCH
10,14,cellula_MI_data_14.csv,0,0,True,VERIFIED_MATCH
11,15,cellula_MI_data_15.csv,0,0,True,VERIFIED_MATCH
12,17,cellula_MI_data_17.csv,1,1,True,VERIFIED_MATCH
13,18,cellula_MI_data_18.csv,0,0,True,VERIFIED_MATCH
14,19,cellula_MI_data_19.csv,1,1,True,VERIFIED_MATCH
15,28,cellula_MI_data_28.csv,1,1,True,VERIFIED_MATCH
16,37,cellula_MI_data_37.csv,1,1,True,VERIFIED_MATCH
17,61,cellula_MI_data_61.csv,0,0,True,VERIFIED_MATCH
18,65,cellula_MI_data_65.csv,0,0,True,VERIFIED_MATCH
19,67,cellula_MI_data_67.csv,1,1,True,VERIFIED_MATCH
20,70,cellula_MI_data_70.csv,0,0,True,VERIFIED_MATCH
21,71,cellula_MI_data_71.csv,1,1,True,VERIFIED_MATCH
22,72,cellula_MI_data_72.csv,1,1,True,VERIFIED_MATCH
23,74,cellula_MI_data_74.csv,1,1,True,VERIFIED_MATCH
24,76,cellula_MI_data_76.csv,0,0,True,VERIFIED_MATCH
25,77,cellula_MI_data_77.csv,0,0,True,VERIFIED_MATCH
26,79,cellula_MI_data_79.csv,1,1,True,VERIFIED_MATCH
27,80,cellula_MI_data_80.csv,0,0,True,VERIFIED_MATCH
28,81,cellula_MI_data_81.csv,1,1,True,VERIFIED_MATCH
29,82,cellula_MI_data_82.csv,0,0,True,VERIFIED_MATCH
